"","MM001.1","MM001.2","MM001.3","MM001.4","MM002.1","MM002.2","MM003.1","MM003.2","MM004.1","MM004.2","MM005.1","MM005.2","MM005.3","MM006.1","MM006.2","MM007","MM008.1","MM008.2","MM008.3","MM009.1","MM009.2","MM010","MM011","MM012.1","MM012.2","MM013.1","MM013.2","MM013.3","MM014","MM015.1","MM015.2","MM016.1","MM016.2","MM016.3","MM017","MM018","MM019.1","MM019.2","MM019.3","MM020.1","MM020.2","MM020.3","MM021.1","MM021.2","MM021.3","MM021.4","MM022.1","MM022.2","MM022.3","MM023.1","MM023.2","MM024.1","MM024.2","MM024.3","MM025","MM026.1","MM026.2","MM027.1","MM027.2","MM027.3","MM028.1","MM028.2","MM029.1","MM029.2","MM029.3","MM030.1","MM030.2","MM031","MM032.1","MM032.2","MM032.3","MM032.4","MM033.1","MM033.2","MM033.3","MM033.4","MM034.1","MM034.2","MM034.3","MM035.1","MM035.2","MM036","MM037.1","MM037.2","MM038","MM039","MM040.1","MM040.2","MM041.1","MM041.2","MM042.1","MM042.2","MM043.1","MM043.2","MM044.1","MM044.2","MM045.1","MM045.2","MM046.1","MM046.2","MM046.3","MM047.1","MM047.2","MM047.3","MM048.1","MM048.2","MM049.1","MM049.2","MM050.1","MM050.2","MM050.3","MM050.4","MM051","MM052.1","MM052.2","MM053","MM054.1","MM054.2","MM055.1","MM055.3","MM055.4","MM055.5","MM055.6","MM055.7","MM056.1","MM056.2","MM057.1","MM057.10","MM057.11","MM057.12","MM057.2","MM057.3","MM057.4","MM057.5","MM057.6","MM057.7","MM057.8","MM057.9","MM058.1","MM058.2","MM059.1","MM059.2","MM060.1","MM060.2","MM061","MM062.1","MM062.2","MM063","MM064.1","MM064.2","MM065","MM066","MM068.1","MM068.2","MM069","MM070.1","MM070.2","MM070.3","MM071.2","MM071.3","MM072.1","MM072.2","MM074.1","MM074.2","MM075.1","MM075.2","MM077","MM078","MM079.1","MM079.2","MM080","MM081","MM082","MM083.1","MM083.2","MM083.3","MM083.4","MM083.5","MM084","MM085.1","MM085.2","MM086.2","MM086.3","MM086.5","MM086.6","MM087.1","MM087.2","MM088","MM089.1","MM089.2","MM090.1","MM090.2","MM090.3","MM091.1","MM091.2","MM091.3","MM091.4","MM092","MM093","MM094.1","MM094.2","MM096","MM098.1","MM098.10","MM098.11","MM098.12","MM098.13","MM098.14","MM098.15","MM098.2","MM098.3","MM098.4","MM098.5","MM098.6","MM098.7","MM098.8","MM098.9","MM099.1","MM099.2","MM099.3","MM099.4","MM100.1","MM100.2","MM101.1","MM101.2","MM103.1","MM103.2","MM103.3","MM104"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_pneumosintes",0,0.93466,2.01302,0.87677,0,0,0,0.45358,0,0,0,0.06621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00696,0,0,0,0.00527,0,0.76052,0,0,0.00567,0,0.02322,0.04908,0.02138,0,0.13136,0,0,0.38527,0.01086,0,0.00144,2.43559,0.29154,0,0,0,0,0,0.71584,0.0778,0.41709,0,0,0.27163,0.146,0,0.73772,0,0,0.06349,0,0,0.00873,0.84501,0.88274,0.18095,0,0,0,0,0,0,0,0,0,0,0,0.01434,0,4.28879,2.35894,0,0.05618,0.21792,0.28457,0.12732,0,0,0,0,0,0,0,0,0.43979,1.52012,0.57143,0.03023,0.07733,0,0,0.62882,0,0,0.00594,0.175,0,0.45929,0,0,0,0.00111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34408,0.10609,0,0,0,0,0.03558,0.00996,0,0,0,0.11165,0,0,0,0,0.98521,0,0,0.61501,0.35224,0,0.71355,3.29127,0,0,0.00692,0.07858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56516,0.46771,0.76447,0,0,0,0,0,0.27691,0,0.96955,0,0,0.20403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06218,0,0,0,0,0,0,0,0,0,0.55496,0.13856,0.02932,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula",0,0.39401,0.0893,0,0,0,0,0.08931,0,0,0,0.02778,0,0,0,0,0.01211,0,0.01177,0,0,0,0,0,0,0.31203,0,4.4771,0.00544,0,0,0,0,0,0,0,0,0,0,0.01399,0,0.02707,0,0,0,0,0,0,0,0,0,0,0.02695,0,0,0.15564,0,0.12749,0.26644,0.26925,0,0,0,0.03229,0,0,0,0,0,2.12264,0.06778,0.07193,0,0,0,0,0,0.00627,0,2.81836,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17835,0.02301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62705,0,0.21203,0,0,0,0,0,0,0,0,0,0,0.01848,0,0,0,6.04192,4.36399,4.74157,0,22.5034,0,0,0,6.57641,8.39483,9.92066,0,0,0,0,0,0,0,0,0,0,0,0,0.61426,0,0.02397,0,0,0,0,0,2.3402,0,0,0.09592,0,0,0,0,0.27649,0,0,0,0,0,0,0,0,0,0,0,0.06345,0,0,0,0,0.22377,0,0,0,0,0,0,0,0,0.17813,0.33243,1.05581,0.25244,0.41251,0.07747,3.85675,0,0.01754,0,0.1666,0,0,0,0,0,0.24907,0,0.32176,0,0.40714,0.25798,0.79906,1.12626,0.45517,0,0,0.16125,0,0,0,0,0,0.0484,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_epidermidis",0,0.27799,0.00262,0,0,0,0.26486,1.60504,0,0.00206,0,0,0,0,0,0,0.0051,0,0,0.0147,0.10282,0,0,0.11259,0,0,0,0,0.30121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00812,0,0,0,0,0,0,0.08415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.64548,0,0,3.72741,0,0,0,0,0,0,0.09495,0,0,0,0,0,0,0,0,0,0.07753,0,0,0,0,0,3.28628,0,0,0,0.35457,0,3.40264,5.82338,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00415,0,0,0,0,0,0,0,0,0,0.17695,0,0,0,0,0,0,0,0,0,0,0,0,0.00621,1.35491,0,5.08313,0,0,0,0,0,0,0,0,0.30136,0,0,0,0,0,0,0,0,0,0,0,0,0.85797,0.31965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3074,0,0,0,0,0,0,0,0,0.00844,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum",0,0.25685,0.04028,0.19184,0,1.16815,1.78281,3.3008,0,0.01142,0,1.30534,0.21207,0,0,0,0.03451,0.22415,0.31504,0.1497,0.09024,0.02879,0,0,0.22419,0.27242,0,0.38181,0.05099,0,0,0.03929,0.06879,1.58796,0,0.35297,0,0.01161,0.26646,0.00354,1.65855,0.13283,0,0,0,0,0,0.00058,0.37307,0,0,0.39186,0.58849,0.97786,0.5413,0.05661,0.34764,0.02352,0.80531,0.90687,0,0.0059,0.30036,1.20284,2.41475,0.04907,10.15133,0,0.33254,1.36842,0.03964,0.11688,0.82476,0.14097,0.6683,0.54559,0.0036,1.29079,2.9465,0.69108,1.14745,0.05981,0,0,0,0,0,0,0.16621,0.43595,0.14211,0.49484,0.00125,0.06878,0.32633,0.65377,0,5.1987,0,0,0,3.71055,0,0.0684,0.03269,0.1614,1.78234,0.15289,0,0.37828,0.81137,1.80573,0.05851,0.00441,0,0,0,0.87974,0,0,0.0526,0,0,0,0,0.04996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10471,0,0,0.4499,0,0,0.04189,0.7099,0,0.00232,2.89797,0,0,0,0,0,0.23327,0.02363,0,0.19035,0.13838,0,0.10434,0,0,0,0,0.01526,0,0,0.04262,0,0.11004,0.13336,0.18234,0.03724,0.17073,0,0,0.65461,0.066,0.07084,0.03435,0.07529,0.02572,0,0.26388,0.66415,11.28049,0.12334,0,0,0.412,0,0.15461,0,0,0.01221,0,0.17297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1395,0,0,0,2.07232,1.44462,0,0,0.03384,0.65959,0.62207,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_jensenii",0,0.16544,0.37938,0,0,0,0,0,0,0,0,0,0,0.01945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Peptoniphilus|s__Peptoniphilus_lacrimalis",0,0.09308,1.61964,6.12202,6.79817,1.98464,4.35166,0.66846,0.12145,6.47985,0.41346,0.49597,3.08244,0,0,0,0.05364,0,0.00338,0.02678,0,0.97513,4.8245,0.12508,0,0.38125,2.65144,0.01321,0.11753,0,0,0.42688,0.91746,0,3.76431,0.01515,0,0.34426,0.10343,3.39594,1.8683,0.51411,0,0.08808,0,0,0.99482,0.06852,0,0,0.18282,0.93241,0,0.08657,0,0.05035,0.37813,1.58176,0.3046,5.9652,0,0.06695,0.40464,0.09472,0.19531,1.01466,0.01555,0,2.84831,0,0,0.25972,3.00055,0.78352,2.04244,0,3.6139,0,0,0.02397,0.1415,0,0.02459,0,0.0953,0,0.00704,0,19.09258,10.89336,0.29615,0.15369,4.79312,6.21208,5.60499,9.13906,6.14865,0.38735,0.6252,0,0,0,0.03161,8.72332,3.28069,1.29677,1.29532,0.80216,0,0.18566,1.74053,0.04901,0,3.02125,7.64654,12.63827,3.07842,0,1.05045,0,0.44322,0,0,0,4.15511,0.7075,0,0,0,0.10401,1.12746,0,0,0,0,0,0,0,5.12878,0.0055,10.12335,0.25496,8.23495,5.74212,2.28115,0,0.27501,0,1.49605,0.10676,0,0,0,0.21115,0.12954,0.41479,0,5.97963,0,0,1.89123,6.16716,0,0.12009,7.65133,13.22848,16.1984,0,0.37204,2.701,3.73529,0.00149,0.57338,0.75067,0.7741,0.33378,0,0.34203,0.12992,0.35577,0,2.01201,2.37283,1.37444,2.57453,0.11303,0,0.03572,7.94962,17.25804,0.02309,0.04624,0,1.86049,0,0.19635,0,0,0.12048,2.41561,1.49972,0.10253,0,0.02706,0,0,0,0.04168,0.04184,0,0,2.41272,0,0,0,0.0136,0,1.15729,0,0,0,0,0,0.5712,0.98439,0,0.09212,0,0.2924
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron",0,0.08065,0.13503,0.04572,0,0.55415,0,0,0,0.01324,0.01414,0.02161,0,0,0,0,1.23151,0.19586,0.74106,0.03385,0.03808,0.60615,0.02292,0,1.8907,0.19453,0,0.0297,0.18347,0,0.51427,0,0.37222,0,0.20144,0.01376,0,0.03178,0,0,0.04166,0.45805,0.0767,3.14032,0.93379,2.75758,0.72853,1.09217,0.75847,0.00115,0.02735,0,0.0864,1.91453,0,0,0.61263,1.00998,1.94949,0.3285,0,0,1.12672,1.55614,0.22334,0.0334,0.06941,0,0.23952,0.01404,0,0.0089,0.47466,0.41488,0.56109,16.04061,0,0.77552,2.00703,0.02906,0.71178,0.10455,0.96147,0.69464,0,0,0.11367,0,0.11775,0.93464,0.10296,0,0,0.86283,0,0,0,0,0,0,0,1.78809,4.48149,1.14071,0,0,2.42341,0.25613,0,1.07059,0.18321,0.03522,7.82667,0,0.0059,1.6343,0.01117,0,0,2.09144,0.9438,1.8519,2.18784,6.91514,0,0,0,0.29337,0.00621,0.01895,0,0,0,0,0,0,0.52458,0,2.54931,7.3314,0.14456,0,0,0.0032,0.136,0,0.03137,2.8954,1.47662,0.11624,2.18098,2.14631,1.05352,0.04084,0.05357,0,16.9454,0.95664,0.12765,3.24591,0,0,0.39659,0,0,0,0.95654,1.40964,0.00539,0.00868,0,0,0,0,0,0,0,0,0,1.55038,0.06837,0,0,0,0,0.55235,0,0,0,0,0,0,0,0.13416,0,0.00736,0,0,0,0,0,0,0.15164,0,0,0.015,0,0,0,0,0,0.63964,0,0,0.16987,0.02433,0,0.09792,0,0,0,0.26124,0.3412,0,0,0,0.59378,0.13573,0.26368
"k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Anaerococcus|s__Anaerococcus_octavius",0,0.07026,0.0465,0,0,0,0,0,0,0,0,0,0,0.09602,0,0,0.00872,0,0,0.01961,0.02929,0,0,0,0.00339,0,0,0,0.25777,0,0,0.04083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01947,0,0,0,0,0.34886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09413,0,0,0,0,0,0,0,0,0,0,3.13401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0.04443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13177,0,0.01613,0,0,0,0,0,0.72257,0.05075,0,0,0,0,0,0,0.00851,0,0.04327,0,0.00144,0,0,0,0,0,0,0,0,0,0,0,0.13576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03512,0.01202,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus",0,0.06716,0.07562,0.0319,0,0,0,0.03324,0,0,0.07918,0,0,0,0,0,0.91558,0,0.10479,0.00504,0,0.01754,0,0,0.03767,0.092,0,0.01201,0,0.24591,0.27988,0,0.0139,0,0.0058,0,0,0.02833,0.06189,0,0,0.31191,0,1.23116,0,0.7297,0.95917,1.39204,0.48686,0,0,0,0.13516,0.20171,0,0.05761,0.11849,0.25289,0.74396,0.00866,0,0,0,0.37847,0.1136,0.13589,0.11468,0,0.0153,0,0,0,0.37143,0.04171,0.04185,0.73207,0,0,0,0,0,0,0.32071,0,0,0,0.15434,0,0,0,0,0,0,0.92868,0,0,0,0,0,0,0,0,0.07042,0.07871,0,0,0.00363,0.0021,0,0,0.06297,0.1284,0,0,0,0,0,0,0.11152,0.61974,0.27956,0.04604,0.0404,0.52769,0.15547,0,0,0.14549,0,0,0.03265,0,0,0,0,0,0,0,0.31797,0.36644,0.65898,0,0,0,0.07892,0,0,0,0.01349,0,2.55635,0.38581,1.22428,0.17196,0,0,0.24687,0,0.01103,1.65801,0,0,0.79724,0,0,0.00101,0.02467,0.12734,0,0.00656,0.8744,0.01082,0,0,0,0,0,0,2.00932,1.28261,0.9937,0,0,0.02898,0,0.0029,0,0.1081,0,0.00898,0.3787,0.18259,0,0.18937,0,0.00093,0,0,0,0,0,0,0.07738,0,0,0.01533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23395,0.11762,0,0,0,0.41091,0.06839,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens",0,0.06705,0.15855,0.10737,0,0.09084,0,0.00214,0,0.01003,0.07711,0.00507,0,0,0,0,0.04913,0.32809,0.74874,0,0,0,0.00111,0,0.01588,0.00225,0,0,0,0.00962,2.75814,0,0.03482,0,0.02069,0.07096,0,0.03561,0.01878,0,0,0.59366,0.01615,2.1415,0,0.19737,0.1977,0,0,0,0,0,0,0,0,0,0,0.01561,0.00885,0,0,0,0.11736,4.31291,0.67226,0,0.07865,0,0.00318,0.27107,0,0,0,0,0.00446,0,0,0.00624,0,0,0,0.15402,0,0,0,0,0.01749,0,0,0.01276,0.15326,0.02947,0,0,0,0,0,0.09746,0,0,0,0,0,0,2.0931,0.14266,1.28582,0.11954,0,0.70876,0.03185,0,5.56677,0,0,0,0,0,0.29435,0.27451,0.05274,0.19423,0.14412,0.69786,0,0,0,0.0031,0,0.00885,0,0,0,0,0,0,0.03415,0,0,0,0.10477,0,0,0,0.17382,0,0,0,0,0.00531,0.01809,0,0,0,0,0.73174,11.5552,0,0.08503,0,0,0,0,0,0,0,0,12.1957,0,0,0,0,0,0,0,0,0,0,0,0,0.01705,0,0,0,0,0.02135,0,0,0,0,0.5428,0.41392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48432,0,0,0,0,0,0.01249,0,0,0,0.10067,0.12364,0,0,0,0.01922,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_disiens",0,0.06149,0.02483,0.0024,0,0.03987,0,2.71535,0.51769,17.40221,0,0.57071,0,0,0,0.03965,1.35942,0,0.00647,0.01633,0,26.93795,0,0,0.00572,0,0,0.01703,0.2464,0,0,0.51419,1.47288,0,12.89658,0.03634,0,0,0,0,0,0.00622,0.03618,0.28383,0,0,0.03282,0.0526,0.32798,0.09369,3.65058,0,0,0.24653,0.11047,0.34071,0,49.13999,5.43671,11.45728,0,0,0,1.44969,0.03954,66.84588,0.01896,0.03739,7.17081,1.40531,0.03753,0.40079,0,0,0,0,0.03359,0,0.44429,0,0.06518,0,0.52719,0,0.01031,12.02925,0,0.10892,0.01978,1.00122,0.51008,0.27439,68.50715,8.28062,0,0,13.37587,1.11844,0.24007,0,0,0.10277,0.15588,0.23178,0,0,0,0,1.33801,0,4.50508,0,0,13.27175,4.56432,0,0.34995,0,0,0,0.29235,0,0,0,0,0.0038,0,0,0,0,0.24968,0,0,0,0,0,0,0,0,0,0.93635,0.81233,20.57522,12.77124,0.48705,0,0.01103,0.01147,0.03794,0.2147,0,0,0,0,0,0,0,2.81193,43.27015,0.27342,3.73942,25.21645,0,0.03612,0.67133,3.91182,0.07475,0,0.05528,0,0,0,0,15.06784,0.00675,0.00377,0,0,0,0,0,0.27347,0.01587,0.13393,0.07857,0.10452,0,0,0,0.02591,1.03071,0.0486,0.05542,27.48471,0,0.27672,0,0,0.29401,0,0.26944,0,0,0,0,0,0,0.05019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07825,0,0.01689,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus",0,0.04856,0.02669,0.04114,0,0.08862,0.22293,0.14696,0,0,0.02428,0.17547,0,2.18607,0,0.10289,0.50962,2.71314,7.59905,0.11826,0.07347,0.0132,0,0,0.33955,0.0131,1.07048,0.19715,0.10759,0.21233,0.32744,0,0.07899,2.77004,0,0,0,0.00531,0.00082,0,0.12279,0.02082,0.00261,0.25578,0,0.10457,0.17242,0,0.23842,0.0181,0,0,0.00765,0.49097,0,0.125,0.72981,2.40763,3.0721,0.00418,0,0,0.76088,1.804,0.35483,0.11317,0.4036,0,0.24995,0.54044,0.04812,2.89857,0.35519,0.20628,0.61623,10.5898,0,0.54874,0.11442,17.78063,1.18289,0,0.5267,0.29425,0.01025,0,1.23511,0.22014,1.72432,1.90061,0.30046,0.1434,0.01741,0.1945,0,0,0,0.03758,0.1286,0,0,0,0,0.07875,0,0,0.25874,0,0,0,0.11885,0.04931,0.98416,0,0.34181,0.69238,0.02575,0.08294,0,0,0.0162,0.02622,0.03651,0.00142,0.91875,0.00388,4.09566,36.98816,48.2873,58.15859,0,0.01077,0,0,0,0.04101,53.83105,36.28522,0,0,0.07135,0.01115,0,0,0.38299,0,0,0.42011,0.42554,1.94951,0.25333,3.4533,1.23584,0.06433,0.0769,0,0.01361,0,0,0,0,0.03617,0,0,0,0,0,4.49114,0.00353,0.04226,0.0221,0.00253,0,0.5234,0.04309,0.74109,3.12732,1.26202,5.15306,0,0,0,0,0.01809,0,0.54188,0.04916,0.1702,0,0.00127,0,0.06275,0,0.22324,0,0.04935,0,0,4.64195,0,0,0.05495,0.02891,0,0,0.01272,0,0,0.02444,0.02529,0.13185,2.94221,0,0,0,0,0,0.04679,2.44014,0,0.00099,0,0,0,0,0.00681,0.09627,0.05735,0.09085
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Erysipelatoclostridium_ramosum",0,0.04546,0,0,0.06968,0.24396,0,0.17834,0,0,0,0.20648,0,0.19966,0,0.02768,0.06786,1.62681,6.37802,0.17522,0.01355,0.00643,0.09857,0,0.03259,0,0.64611,0,0.11596,0,0.04801,0,0,0.03223,0,0,0,0,0,0,0.01355,0,0,0.0055,0,0,0.02957,0.19723,0.10326,0,0,0,0.01691,0,0,0,0.28106,0.01508,0.26757,0,0,0,0,0.00689,0,0,0.1709,0,0,0,0.2311,0.61017,0,0,0.02731,0.24903,0,0.04654,0.69288,0.16346,0,0,0,0,0,0.05986,0.01978,0,0,0,0,0,0,0,0,0,0.00773,0.30907,0,0,0,0,0,0,0,0,0,0.00971,0,0,0,0,0,0,0.11842,0,0,0.05335,0,0.0584,1.51899,2.14584,0.85006,0.18819,0,0.07349,0,0,0,0,0,0,0,0,0,0,0,0,0.5176,3.97422,3.43336,0.05102,0,0,0,0,0,0,0,0,0,0.54706,0,0,0,0,3.18404,0,0.11343,0,0,0.02472,0,0,0,0,0,0.03383,0.00987,0,0.02653,0,0,0.0276,0,0.00104,0,0.07152,0,0,0,0,0,0,0,0.26253,3.35971,0,0,0,0.08944,0.24923,0.08054,1.1514,0,0.00451,0,0,1.53112,0,0,0.01045,1.14682,0,0,0,0,0,0,0,0.46689,0,0,0,0,0,0,1.01756,0,0,0.01214,0,0,0,0,0,0.02127,0,0.1777
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_bolteae",0,0.03386,0.02041,0.00262,0,0.03468,0,0.01744,0,0,0,0.19411,0.27445,8.35539,0.50156,0,0.0141,0,0.00996,0.02034,0,0.10806,0,0,1.00575,0.02665,0,0.01313,0.11882,0.02479,0.0664,0,0.10006,0.10014,0,0,0,0.0076,0.19098,0,0,0.10371,0,0.17566,0.13876,0.07977,0.05491,1.64905,0.4732,0,0,0,0,1.08105,0,0,0.03396,0,0.21379,0.00639,0,0,0.47402,0.64965,0.72012,0.00557,0.02928,0,3.12475,0,0.00479,0.07591,0.03762,0.11661,0.61595,1.53591,0,0.08074,0,0,0.89641,0.00391,0,0,0.00957,0,2.48462,0.36986,0.05692,0.09445,2.69742,2.9962,0.06455,0.04544,0,0,0,0.09493,0,0,0,0,0.06071,0,0,1.15428,0.01766,0.16265,0,1.2872,0,0,0.08966,0,0,0.75716,0,5.60835,0.16402,0,0.08453,0,0,1.58349,0.23625,2.22725,0,5.02445,4.21769,0.72631,0.13274,23.99953,0,0,0,55.56815,7.58757,4.45932,0.27005,5.12186,0.0152,0,0,0,0,0,0,0.49534,0.00578,0.71291,0.02397,1.45243,0.04347,0.0117,0,0.52187,0.01583,0,0,0,0,0,0,0,0,0,0,0.30118,0.47615,0.33934,0.32972,0,0,0.26704,0.02424,0.35088,0.08759,0.12871,0.10918,0,0,0.00205,0,0.01628,0.01743,0.31553,0,0,0,0,0.6716,0.3935,0.64554,0.43727,0,0.03238,0,0,0.50402,0,0.53824,2.57462,0.7446,0,0,0,0,0,0,0,1.60423,0,0,0,0,0,0,1.66253,6.47954,23.15961,0.67903,0.00269,0.08798,0,0,0.01607,2.85138,0.9008,0.63444
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_sp_HMSC065F10",0,0.03123,0.04263,1.89925,25.79175,3.35818,1.71206,0.15806,0.06209,1.25256,0.11047,0.81389,0.12503,0,0.28142,0.19357,1.34291,0.09294,0.02363,2.15273,5.63732,0.30954,10.10805,0.27985,0.03223,1.57455,0,0.10745,32.73652,0.10052,0,4.59001,0.8813,0.00207,1.4176,0.15419,0,0.00741,0,4.935,11.28619,0.47205,75.09484,0.33779,0.32247,0,0.58199,0.79515,0,5.3701,10.67231,0.03636,0,0,0.07351,0,0.91877,0.04724,0.03759,0.30556,0.09095,0,0.20495,0.12541,0.13579,0.05583,0,0.05568,4.40049,0,0,0.08549,0.07917,0,0.04057,0.0021,31.59037,0,0.80158,0.00798,0.15227,0.02237,0.05398,0,0.44913,0,0.04576,0.12163,13.69545,38.09475,0.41201,4.35673,5.67348,19.97654,0.2214,0,0.03879,0.00465,0.51634,0,9.78135,0,0,2.07465,0.10696,0.10552,3.80244,0.15705,0,0,0.13538,0.00415,0,7.25139,16.41517,14.91449,0.0255,0,0,0,2.99695,0,0,0,0.11644,0.01943,12.16447,0,0,0.0011,1.15268,0,3.17385,0,0.189,0,0,0.26105,2.97483,0.01345,0,0.10794,6.77682,1.08808,19.64026,0.73558,0.01566,0.02196,0.61274,0.01832,0,0,0,0.01099,0.35722,0.45466,0,1.7871,0.01183,0.20771,1.30729,8.79021,0,0.02705,0,0.3991,3.13588,0,0.02779,0.02427,38.67112,0.00491,0,1.74315,6.16869,4.1091,0,8.5298,0.036,0.07024,0.0777,0.15603,0,0.12133,0.42455,0.2505,0,0.26447,0.25268,0.85857,0,0,0,0.45687,0,0.02978,0,0,1.53337,2.25824,0.16747,1.05237,0,0,0,0,0,0,0.33418,0,0,0.69448,0.01194,0,0.14827,0.0355,0,1.36383,0,0,0,0,0.05382,0,0,3.22215,2.43336,2.66695,1.03477
