"","p8582_mo1","p8582_mo10","p8582_mo11","p8582_mo12","p8582_mo2","p8582_mo3","p8582_mo4","p8582_mo5","p8582_mo6","p8582_mo7","p8582_mo8","p8582_mo9","p8585_mo1","p8585_mo2","p8585_mo3","p8585_mo4","p8585_mo6","p8585_mo7","p8585_mo8","p8585_mo9","p8600_mo1","p8600_mo10","p8600_mo11","p8600_mo12","p8600_mo2","p8600_mo3","p8600_mo4","p8600_mo5","p8600_mo6","p8600_mo7","p8600_mo8","p8600_mo9","p8646_mo1","p8646_mo10","p8646_mo11","p8646_mo12","p8646_mo2","p8646_mo3","p8646_mo4","p8646_mo5","p8646_mo6","p8646_mo7","p8646_mo8","p8646_mo9","p8649_mo1","p8649_mo10","p8649_mo11","p8649_mo12","p8649_mo2","p8649_mo3","p8649_mo4","p8649_mo5","p8649_mo6","p8649_mo7","p8649_mo8","p8649_mo9","p8712_mo1","p8712_mo10","p8712_mo11","p8712_mo12","p8712_mo2","p8712_mo3","p8712_mo4","p8712_mo5","p8712_mo6","p8712_mo7","p8712_mo8","p8712_mo9","p8748_mo10","p8748_mo11","p8748_mo12","p8748_mo4","p8748_mo5","p8748_mo6","p8748_mo7","p8748_mo8","p8748_mo9","p8775_mo1","p8775_mo10","p8775_mo11","p8775_mo12","p8775_mo2","p8775_mo3","p8775_mo4","p8775_mo5","p8775_mo6","p8775_mo7","p8775_mo8","p8775_mo9","p8808_mo10","p8808_mo11","p8808_mo12","p8808_mo4","p8808_mo5","p8808_mo6","p8808_mo7","p8808_mo8","p8808_mo9","p8816_mo1","p8816_mo10","p8816_mo11","p8816_mo12","p8816_mo2","p8816_mo3","p8816_mo4","p8816_mo5","p8816_mo6","p8816_mo7","p8816_mo8","p8816_mo9","p8855_mo10","p8855_mo11","p8855_mo12","p8855_mo3","p8855_mo4","p8855_mo8","p8855_mo9","p8883_mo10","p8883_mo11","p8883_mo12","p8883_mo2","p8883_mo3","p8883_mo4","p8883_mo6","p8883_mo7","p8883_mo8","p8883_mo9","p9061_mo1","p9061_mo2","p9061_mo3","p9061_mo4","p9061_mo5","p9061_mo6","p9061_mo7","p9061_mo8","p9193_mo1","p9193_mo2","p9193_mo4","p9193_mo5","p9193_mo6","p9193_mo7","p9216_mo1","p9216_mo2","p9216_mo3","p9216_mo4","p9216_mo5","p9216_mo6","p9216_mo7","p9216_mo8","p9220_mo1","p9220_mo2","p9220_mo3","p9220_mo4","p9220_mo5","p9220_mo6","p9220_mo7","p9223_mo1","p9223_mo2","p9223_mo3","p9223_mo4","p9223_mo5","p9223_mo6","p9223_mo7","p9223_mo8","p9281_mo1","p9281_mo2","p9281_mo3","p9281_mo4","p9281_mo5","p9281_mo6","SKST006_1_G102959","SKST006_10_G102994","SKST006_2_G102960","SKST006_3_G102961","SKST006_4_G102962","SKST006_5_G102963","SKST006_6_G102964","SKST006_7_G102965","SKST006_9_G103014","SKST007_1_G102966","SKST007_2_G102967","SKST007_3_G102949","SKST007_4_G102948","SKST007_6_G102995","SKST007_7_G103016","SKST007_8_G102999","SKST010_1_G102968","SKST010_2_G102969","SKST010_3_G102970","SKST010_4_G102956","SKST010_5_G102990","SKST010_6_G103004","SKST010_7_G103003","SKST010_8_G102998","SKST011_1_G102971","SKST011_2_G102972","SKST011_3_G102973","SKST011_4_G102952","SKST011_5_G102993","SKST011_6_G103002","SKST011_7_G103017","SKST011_8_G103000","SKST012_1_G102974","SKST012_2_G102975","SKST012_3_G102950","SKST012_4_G102954","SKST012_5_G102992","SKST012_6_G102997","SKST014_1_G102976","SKST014_2_G102977","SKST014_3_G102978","SKST014_4_G102979","SKST014_5_G102980","SKST014_6_G102951","SKST014_7_G102940","SKST023_1_G102981","SKST023_2_G102987","SKST023_3_G102941","SKST023_4_G102937","SKST023_5_G103007","SKST023_6_G103009","SKST023_7_G103015","SKST024_1_G102982","SKST024_2_G102953","SKST024_3_G102944","SKST024_4_G102938","SKST024_5_G103001","SKST024_6_G103012","SKST024_7_G103022","SKST024_8_G103031","SKST025_1_G102983","SKST025_2_G102986","SKST025_3_G102942","SKST025_4_G102939","SKST025_5_G103006","SKST025_6_G103010","SKST025_9_G103021","SKST027_1_G102984","SKST027_10_G102936","SKST027_11_G102996","SKST027_12_G103011","SKST027_2_G102985","SKST027_3_G102945","SKST027_4_G102958","SKST027_6_G102955","SKST027_9_G102947","SKST032_1_G102943","SKST032_2_G102946","SKST032_3_G102989","SKST032_4_G103008","SKST032_5_G103024","SKST036_1_G103013","SKST036_2_G103020","SKST036_3_G103025","SKST037_2_G103023","SKST037_3_G103026","SKST041_1_G103005","SKST041_2_G103027","SKST041_3_G103028"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eisenbergiella",0.01731,0.01198,0.00833,0.00816,0.00602,0,0.00824,0.02728,0,0,0.01113,0,0.01693,0,0,0,0.06163,0.00436,0.00172,0.01211,0.52504,1.09516,0.78326,0.90954,1.39668,3.91586,1.69207,1.87497,2.37907,0.99289,0.89973,0.94858,0.05565,0.27166,0.07085,0.16721,0.02749,0.06185,0.23797,0.14069,0.19679,0.06661,0.01229,0.55286,0,0.14891,0.01649,0.02033,0.0194,0.05013,0.0586,0,0.03274,0.01145,1.05744,0.01228,0.23905,0.13111,0.04113,0.22348,0.05388,0,0,0,0.0855,0.13399,0.3132,0.05914,0,0,0,0.01536,0.00885,0,0,0,0,1.64641,0,0,0.0097,0.2151,0.09861,0.0164,0.07699,0.0246,0.00369,0.00101,0.0488,0,0,5.10061,0,0,0,0,0,0,0.01063,0.03191,0,0.01972,0.01298,0.03749,0.05895,0.00315,0.14137,0.02777,0.07019,0,0.40045,1.6435,0.25121,3.99654,8.70948,4.66916,7.80513,0.0353,0.40418,0,0.2438,0.8019,0.30844,0.48586,0.18533,0.17201,0.06755,0,0,0,0,0,0,0,0,0.00223,0.5913,0,0.02678,0,0,0.02222,0,0.02404,1.00625,0.37709,0.32895,0.30553,0.44881,0,0.00261,0,0.00058,0,0,0,0,0,0,0,0,0.00258,0,0,0.20608,0.00766,0,0,0.00324,0,0,0,0,0,0,0,0,0,0,0.00292,0,0,0,0.05598,0,0,0,0,0.45485,0.02056,0.00521,0,0.0248,0.00174,0.00648,0.02591,0,0.00587,0.06347,0.74949,0.5141,1.1535,0.3068,0.94839,0.06885,0.25066,0,0.0816,0,0,0,1.78175,22.4602,0.18048,6.57857,0.12746,0.00407,0.06425,0,0,0.0022,0.38825,0.25378,0.08473,0.10409,0.73103,0,0.2213,1.14571,0.01821,3.29918,0.03773,0.60857,0.25668,0.57171,0,0.22128,0,0,0,0,0,0,0,0,0,0,0.37983,0.33154,0.00912,0,0.00732,0,0,0,0,0,0,0.0016
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium",0.01079,0.05515,0.05757,0.0416,0.00481,0.02333,0.00798,0.03188,0,0.0073,0.06776,0,0.3338,0.1494,0.0188,0.25154,0.47964,0.2156,0.10593,0.0294,1.61567,0.89356,0.80639,0.40676,1.03008,0.43386,1.84913,1.49105,1.31347,1.57678,0.96781,0.95836,0.11499,0.22917,0.08877,0.39287,0.0138,0.07047,0.28821,0.41397,0.94808,0.22684,0.51802,0.34023,1.29895,0.12757,0.6273,0.06384,0.67677,0.36814,1.07993,0,0.73657,0.37841,0.9612,0.11352,0.31075,0.09565,0.02579,0.12441,0.55337,0.46251,0.11053,1.50305,0.86792,0.4075,0.28008,0.14642,0.05954,0.01212,0.10422,0.05791,0.02352,0.0027,0.07353,0.07395,0.10039,0.45216,0.01352,0,0.00599,0.0997,0.04397,0.05194,0.05336,0.04796,0.03565,0.0567,0.22954,1.96344,6.35833,17.33494,2.16963,1.09352,0.77274,1.22809,1.68242,0.04712,0.0415,0.02571,0.0056,0.02632,0.17828,0.05915,0.04277,0.0446,0.03868,0.03374,0.02692,0.05158,2.7391,4.61953,2.78761,14.22921,20.37412,7.60477,5.16585,0.26959,1.06699,0.31629,0.60784,0.91353,0.38794,0.48083,1.22801,0.76823,0.62829,0.01719,0,0.04368,0,0,0,0,0,0.00969,0.10892,0,0.02457,0,0,0.42815,0,0.49998,0.65941,0.4944,0.35986,1.06344,1.44363,0,0.02304,0,0.01368,0.06861,0.12714,0,0.00179,0.00054,0.00243,0,0,0.00587,0,0.00107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04027,0,0,0,0.00714,0,0,0.03261,0,0.99496,0.02434,0.00075,0,0.1453,0.01462,0.25987,0.01494,0,0.00153,0.98717,0.62316,0.22423,0.17729,1.59838,0.06139,0.07906,0.22711,0.00582,0.30893,0,0,3.48824,0.21938,1.26403,0.98615,1.11758,0.06141,0,0.10895,0,0,0.02003,0.23016,0.2717,0.07856,0.17301,2.75397,0,0.69672,1.57514,0.00602,7.8593,2.91493,0.50937,0.18064,1.67032,0,0.41636,0,0,0.26953,0,0.14386,0,0.45273,0,0,0,2.24415,0.44199,0.0404,0.01507,0.12098,0,0,0.02937,0,0,0,0.00152
"k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified",0.00913,0.42165,0.1409,0.174,0.04125,0.06843,0,0.15352,0.01952,0.00715,0.14939,0.04017,0.79991,0.00965,0.03617,0.34021,0.18312,0.075,0.12774,0,0.03584,0.0248,0.39497,0.65119,0.01312,0,0,0,0,0.01847,0.01809,0.02859,0.17536,0,0.01016,0.0186,0.36871,0.16003,0.00323,0.0858,0.10212,0,0,0,0,0,0,0,0,0,0,0,0.00461,0,0.00504,0.0085,0.01113,1.27282,0.63401,0.95844,5e-04,0.00112,0,0,0,0.51842,1.10848,0.14458,0.21971,0.5337,0.95588,0.76946,0.17312,0.25003,1.73847,0.09779,0.12623,0.64461,0.05695,0.65213,0.52596,0.43525,0.51819,0.51407,1.21654,0.19951,0.14737,0.0185,0.39929,0,0.17697,0,0,0,0,0,0,0,0.68581,0.23037,0.20029,0.05907,0.98379,0.12841,0.26052,0.49201,0.70816,0.14648,0.06814,0.15647,0,0,0,0,0,0.95669,0,0.85761,0.09235,0.68896,0.39243,0.85386,0.54029,0.46579,0.72013,1.09579,0.45363,0,0,0,0,0,0,0,0,0.24689,0.1972,0.59407,1.518,0.22618,0.09826,0.13069,0,0.09075,0.66786,0.10492,0.26929,0.07592,0.13481,0.25813,0.60592,0.65991,0.8282,0.17302,1.52067,0.14571,0.19387,0.50613,0.66742,0.32801,0.85282,1.15234,0.20105,0.48538,0.03589,0.09029,0.1163,0.05262,0.09541,0,0,0,0,0,0,0,0,0,0,0.03016,0.11422,0.0082,0.02204,0.25434,0.10385,0.00649,0.11804,0.03117,2.41029,0.58665,0.45755,0.36412,1.05763,0.2491,1.23487,0.13216,0.17671,1.31437,0.14689,0.29745,0.59873,0.24792,6.48383,0.50513,0.88574,3.86764,0.82755,1.03364,0,0,0,0,5.40353,5.52278,32.18087,0.30712,0.05237,0.08406,0.19613,0,0.12253,1.85741,0,0,0,0,0,0,0,0,0.17008,0.2136,0,0,0,0,0,0,0,0,0,0,1.18909,0,0,0,0,0,0,2.34292,1.26368,0.12353,0,0.08438,0.11198,0,0,0,0.06468
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enorma",0.00444,0.00731,0.01098,0.01053,0,0.00197,0,0.00845,0.02342,0.01423,0.01549,0,0.00323,0.05416,0.01149,0.09249,0.02361,0.04012,0.0438,0.01698,0,0.00278,0,0.00444,0.00406,0.00798,0,0,0,0.00349,0.00259,0.00397,0,0,0,0,0.0031,0,0,0.00264,0.00285,8e-04,0,0,0.024,0.02498,0,0.03703,0.05465,0.03295,0.03332,0,0.02788,0.03775,0.03065,0.08674,0.00057,0.00363,0,0.01374,0.00088,0.0021,0.01563,0.00279,0.03745,0.01558,0.02657,0.02395,0,0,0.00358,0.00203,0.02024,0.01767,0.00473,0.00388,0.00172,0.02916,0.01644,0,0.00971,0.00657,0.01306,0.02489,0.03406,0.01108,0.00424,0.01709,0,0,0,0,0,0,0,0,0,0,0.00695,0,0.00446,0.00447,0.00551,0.01038,0.01185,0.00741,0.01479,0.00975,0.00408,0,0,0.01627,0.04987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00294,0.00322,0,0,0.00295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01754,0.07156,0.08271,0.03454,0.13248,0.24649,0.03682,0.00063,0.00455,0.00531,0,0,0.00626,0,0.00125,0.00558,0,0,0.00431,0.00128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01248,0,0,0.01845,0,0,0,0.01486,0.01205,0,0.02064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii",15.87359,6.17897,10.91047,15.24216,10.02973,10.9592,3.58857,12.44348,12.35819,15.10274,2.9204,7.25278,0.00701,0.00942,0.01514,4.18025,6.00741,14.10507,5.65816,5.53557,0,4.88129,4.46679,2.70764,0,0,0.00818,0.01296,0.53449,0,0.02094,2.57574,4.51972,10.24155,9.61868,7.20295,2.37642,6.15292,15.13453,9.28611,11.45313,8.05577,7.99318,9.59643,13.43038,4.00043,0.4219,7.93286,11.13474,6.20043,4.49791,0.05166,6.38364,0.68627,0.23363,4.95979,13.62445,9.60436,10.63657,6.80801,20.35949,12.87448,10.39614,10.3901,11.56236,7.94585,11.47576,8.01873,9.86334,14.93318,14.92262,9.40483,11.05402,17.88638,11.00391,10.82602,11.50814,9.33185,6.46788,12.94238,10.83816,9.96591,13.13296,17.49266,11.30031,8.54138,10.10594,11.69028,7.97891,14.94906,0.00399,0.02135,4.42999,13.85394,15.03686,7.02915,13.46744,11.90438,18.9605,8.79616,16.2187,10.94481,27.00765,12.41324,8.22908,10.74685,18.65065,12.25561,11.26259,16.88953,0,0.00401,0.41538,7.66787,0.00384,0.00682,0,6.99973,1.3112,9.23704,5.69547,2.39224,5.91209,7.9422,5.32889,2.49112,7.44362,10.39639,14.31967,3.91214,10.42334,7.43268,5.79902,7.20243,6.42854,9.59296,3.67381,10.34476,11.89391,7.88973,8.04951,6.62361,65.33771,6.55136,6.61807,6.25287,12.45947,10.75277,11.22878,7.18822,3.82346,11.79308,12.78549,4.33467,2.76512,4.36685,2.87351,5.82602,2.53131,4.92983,7.41843,7.65041,5.11022,5.84128,5.92832,6.80295,9.54641,12.622,10.13746,14.46739,0,0,0,0,0,0.0853,0,0,0,8.03278,2.33926,12.24852,6.78845,38.78256,14.28463,6.33827,12.05408,21.52436,7.73325,7.13628,15.43961,16.74053,13.79589,7.7884,11.5577,11.99523,4.56714,8.8237,1.33125,1.03759,1.57281,1.94351,4.24544,6.04584,5.19458,1.77542,7.28944,11.77285,0,0,0,0,0,0,1.12741,2.13525,1.64808,9.55647,14.3503,0.82725,9.11697,12.69796,3.06863,11.23978,11.20531,0.789,1.07077,2.06564,1.38114,3.42245,0.74821,2.28009,5.11197,0.95108,1.71697,0.62695,0,10.17176,0,0,0,10.11398,7.49333,9.80432,0,0.22984,3.82553,0,6.41405,1.18352,4.06241,5.70305,24.4424,7.5878,37.91035,39.17199,19.6414,22.48312,24.30396
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis",11.19642,9.67066,10.31147,6.05808,9.94465,3.67278,7.81907,4.0259,0.56849,4.06328,12.91469,8.18776,0.00362,0,0.00432,0,0,0.00558,0,2.34727,1.98881,26.40916,30.16636,30.83976,5.22624,0.1054,30.39463,18.48819,5.97272,26.06915,20.47407,25.22298,0.00197,2.89675,3.26629,6.76298,0.0028,0.00371,4.93247,0.01407,0.02164,0.01328,0.00308,0.00604,1.2339,3.56951,0.17726,0.29634,1.67529,1.37778,0.59118,0.0032,1.57891,5.40433,5.62162,3.90043,4.97477,13.46528,8.12951,14.01812,3.9983,18.73013,6.64694,17.68491,8.9146,14.45767,11.71267,3.61777,7.66614,11.71807,10.40823,28.85129,8.71726,2.43485,16.50226,7.95626,6.18315,11.83937,20.81866,18.41784,19.56161,26.35585,16.25191,14.19615,19.69243,10.25513,19.36572,12.49387,27.77435,0,0.0016,0.00658,0,0,0,0.00097,0,0,4.63069,11.12294,6.79136,8.91017,3.30727,9.80874,17.15248,16.28669,17.47632,6.54143,17.60331,7.03794,0,0,0,0,0.00089,0.02165,0.00052,0,0,0,0.00049,0,0,0,0,0,0.02434,0.84712,0.71705,0.58402,0.31801,0.2292,3.57787,0.64264,0.20576,17.07739,26.56107,34.46457,17.10731,23.90075,23.26184,8.29815,0,10.85997,7.51097,8.17696,8.5952,4.97097,6.06503,2.74202,7.45417,1.41191,3.99239,7.29242,1.33633,4.69013,0.64492,2.89779,4.13987,4.62449,5.45779,2.8149,4.01303,2.82675,9.59949,4.07354,6.12273,2.78376,3.27777,0,0.11798,0,17.85201,18.07084,0,0,0,0,0,12.81612,11.38222,12.66298,18.79553,1.46242,13.81015,7.8996,7.83778,14.31832,1.65484,25.42187,22.1085,22.24154,29.08786,20.02325,16.78188,18.33885,13.42926,21.21772,10.974,4.48731,5.80215,4.60408,5.73505,6.35729,6.96778,3.32169,19.78364,15.79392,0,0,0.03781,0,0,0,0.03772,23.689,25.80464,1.68772,1.71728,21.55185,1.76431,5.43089,20.86104,1.54154,2.2854,10.4871,17.3244,1.84862,7.73796,5.4848,3.86015,3.22742,0.14771,0.00072,2.37352,0,22.19506,0.09401,0,0.10439,0.0159,6.17739,0.95004,2.36639,0,0.03128,10.86051,6.12389,8.06508,27.89322,22.28333,17.9442,8.70283,15.2258,2.65994,3.96602,7.26229,2.35226,2.77097
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis",8.81031,0.14533,0.62908,2.78659,4.68185,1.75934,3.84778,0.62338,0.18531,0.37752,1.04894,1.43379,0,0,0.00157,0.00633,0.18408,0.05114,0.00724,0.07119,0,0,0,0,0,0,0,0,0,0,0,0,0.11205,0,0,0.02371,0.17621,1.30746,0.45519,0.48215,1.83735,0.8588,1.75235,0.78828,0,0.09817,0,0.03796,0,0,0,0,0.00416,0.01275,0,0.03936,0.42614,0.023,0,0,0,0,0,0,0.73797,0.50909,0.27099,0.8359,0.00801,0.01023,0.02077,0.05482,0.04909,0.14995,0.01243,0.04281,0.00542,0,0,3.39131,0.11022,0.14987,0.36905,0.42517,0.15873,0.16704,0.02549,0.27527,0.21153,2.38315,0,0,1.64689,0.95875,2.39507,3.16135,0.57236,0.41884,0.20608,0,0,1.44549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22001,0,0,0,0,2.95949,0.2899,0.01867,0.11696,1.01267,0.13764,0.03388,0.13694,0.00333,0.00611,0.41247,0.02103,0.01141,1.95843,0.25853,0.27182,0.13302,0.59046,0.832,0.10319,0,0.64885,0,0,0,0,0,0,0.00217,0,0,0,0.00753,0.00368,0.1389,0.13236,0.12238,0.45407,0.96115,0.11551,1.44334,0.50082,0.2888,0.28644,0.6424,0.29103,0.10434,0,0,0,0,0,0,0,0,0,0,0.29423,0.43227,2.29809,0.16176,1.39156,1.43175,0.80343,0.02169,0.02019,0,0,0.19902,0.06329,0,0.03037,0.11954,0.03005,0.25456,0.03178,0.01679,0,0.0061,0.00095,0.23426,0.01075,0.0111,0.5081,0.0023,0.02839,0,0,0,0,0,0.61379,0,0.4054,0.20594,0.20046,0.20576,0.01198,0,1.5866,0.0318,0.1332,0.34855,0.40097,0,0.03311,0.50514,0.22094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19092,0,0.02316,0.08111,0,0.00158,0.30295,0,0.28432,0.14016,0.31026
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis",7.82787,13.78652,13.51463,12.32277,9.96416,10.50447,24.77607,9.89352,7.52435,11.23382,8.84946,9.87716,0,0,0,0,0,0.00162,0,10.0767,0,0,0,0,0,0,0,0,0,0,0.00487,0.00662,0,0,0,0,0,0,0,0.00447,0.01305,0.00629,0,0,0.00894,9.51403,0.38001,5.95781,0.00728,0.01339,0.00889,0,0.00479,0.00464,0.00316,8.64358,0,0,0,0,0.00319,0.00486,0.02618,0,0,0,0,0,4.16659,4.13114,5.03065,4.92405,3.80609,3.38225,7.05449,4.53668,3.80261,0.00867,0,0,0,0.00714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00399,0,0,0.00318,0.01153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92995,4.0737,24.61727,8.00607,4.94622,1.83835,7.03923,5.44589,5.59133,2.65201,0,0,0,0,0,0,0,0,1.24379,3.27099,4.1111,3.69006,3.60851,2.03409,3.441,0,3.26027,3.44638,2.52536,4.93676,3.29165,4.62836,4.31948,5.39101,9.0181,6.28379,4.66574,2.53984,5.52226,2.7203,5.38407,4.14104,2.9083,4.61422,6.05928,4.176,2.86533,9.24679,8.94762,3.17611,2.847,11.24019,0.59159,0,0,0,0,0,0,0,0,0,16.33496,11.30872,9.57143,9.03567,1.19842,1.42572,16.4438,2.08022,8.60709,0.46594,13.44967,6.27808,10.8612,8.58839,10.67207,11.45979,10.70199,20.65862,12.6343,14.46631,23.49421,8.36669,4.6839,10.84495,2.81894,17.69106,11.55534,14.29898,7.34344,0,0,0,0,0,0,0.0502,1.93801,2.95892,0.64983,1.2234,10.13087,0.62485,2.15974,5.09237,0.10249,0.52129,0.33158,5.61973,1.44798,2.74989,0.56943,0,0,0,0,0,0,0,0,0,0.0398,0,0,3.68234,5.40724,0,0,0,0,0,0,0,5.2122,8.28198,7.91523,0.32391,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale",4.90495,1.59317,1.64461,1.22311,8.35643,1.57602,0.63712,4.1012,4.46269,2.34519,0.93461,2.09506,0.00248,1.77771,1.41902,1.23002,1.82382,2.13595,1.38951,3.66023,0.00173,0,0.00091,0,0,0,0,0,0.03857,0,0.01955,0.01856,7.6241,1.57222,4.42867,2.71879,33.13492,13.8511,4.7001,7.31102,7.47749,8.24037,5.9774,1.1574,4.50744,11.08532,0.00656,2.12033,3.0595,2.53036,16.46852,0,3.55714,4.66605,0.01594,1.27219,4.84108,6.57342,13.26156,8.03881,11.69452,0.93642,1.01691,0,0,0,0,0,0.01589,0,0.01175,0.0146,0.01495,0.00595,0.00798,0.00218,0.01109,0.76561,0.76512,0.93749,1.63128,2.93579,1.83395,2.15666,1.17969,10.84839,0.02839,1.54543,0.01173,2.33832,0.00211,0.00197,25.08082,7.37167,5.76759,13.20157,9.33636,14.76714,1.5578,1.83658,2.94196,5.28978,0.22185,0.16534,0.0986,0.16099,0.20378,1.22154,0.43133,5.24494,0,0,0,0,0.00156,0,0.00057,2.94582,0.17185,1.83254,3.70587,5.2849,4.47332,13.85279,3.53163,6.09028,23.19471,5.13821,1.77087,5.15465,10.00826,8.71697,3.8237,5.22069,2.69525,10.3943,2.532,2.55993,7.30386,6.22363,10.1582,0.01595,0,0,0.00392,0.01078,0.0069,0.00538,0.00452,1.91457,1.01743,0.4627,0.55319,3.62263,0.36531,1.11305,4.41219,3.83802,4.5886,2.22894,11.72465,7.02889,1.21946,6.02976,1.40415,1.16682,6.68215,11.44339,1.17405,14.47492,0,0,0,0,0,0,0,0,0,0,0,0.24268,0.00824,0,3.35387,0.23229,1.97111,4.99925,0.24574,0.97395,0,0.27012,0.3781,0.6208,0.07513,0.31357,0.09674,2.55513,0.06054,0.05232,0.02222,0.0117,0.08877,0.33839,0.04616,0.08199,0.08622,0.05938,0,0,18.91663,0.18496,17.85788,13.6081,14.9115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3116,0.0336,0.09808,0.19058,1.99308,0.12007,1.17071,36.2481,1.53439,0.34391,0.46804
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei",4.85759,12.05794,13.40848,16.34455,5.72245,5.72391,11.4484,2.36107,0.82944,4.17431,10.09979,13.47959,0,0,0,0,0,0.00377,0,0.00363,0,0,0,0,0,0,0.00192,0,0,0,0.00465,0.00375,0,0.08143,0.16186,0.17699,0,0,0,0.00512,0.00534,0.00474,0,0,7.81391,0.41779,8.12891,1.05882,2.5074,5.5831,8.46862,0,1.90625,5.11994,4.66549,1.95718,0,0.01656,0,0,0.02309,0.00279,0.00485,0,0,0.00042,0,0,1.42065,0.66643,0.27633,0.61253,0.32529,0.58787,0.64072,0.97806,2.46059,5.85721,7.53702,18.65479,13.98638,11.15467,14.40085,11.28733,13.40788,9.82673,13.57488,8.95937,20.99594,0,0,0.01572,0,0,0,0,0,0,0.00426,0,0,0.00331,0.00635,0,0.00071,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00465,0,0,0,0,0,0,0,0.00363,8.4131,5.18296,4.96284,2.58891,2.40036,5.97107,4.07446,1.53073,13.0586,20.7063,13.33953,6.97944,8.87781,10.36296,13.26666,0,8.19495,14.53528,9.94766,16.87004,26.03271,27.21206,11.50418,14.98361,8.60921,9.95467,7.74193,1.46288,18.8021,0.76385,1.5149,1.05804,1.67026,2.9743,1.99319,2.09999,1.70518,0.84909,0.1528,0.29336,0.07079,0.09632,0,0,0,0,0,0,0,0,0,0,11.3857,8.66418,10.70612,9.04135,9.79474,12.76762,17.16859,4.8254,9.91517,0.86399,4.53357,1.31284,0,0,0.00495,14.69718,15.07775,12.96761,12.80113,7.3172,8.37868,14.27366,6.37045,1.52701,15.79716,3.12835,1.83913,5.37746,1.47819,0,0,0,0,0,0,0,13.22974,14.50082,2.61357,0.69942,9.76685,1.12599,1.90569,0,0,0.00568,0,0,0,0,0,6.58525,0.73228,0.27099,0.01438,15.88901,0,10.27168,0,0,0,0,0,0.0108,0,0,0,7.37574,11.07907,14.31364,22.40864,26.25599,0,0.63776,1.529,0.17327,0,1.86811,2.73495,4.13783
